?Время	O	H	L	C	V	OI	Состояние
03.01.2018 10:00:00	113670	115990	113670	115990	4	0	Finished
03.01.2018 10:10:00	113430	113430	113430	113430	1	0	Finished
04.01.2018 14:05:00	116980	116980	116980	116980	1	0	Finished
04.01.2018 14:50:00	117030	117030	116950	116950	2	0	Finished
04.01.2018 15:30:00	118000	118000	118000	118000	4	0	Finished
09.01.2018 12:55:00	121580	121580	121580	121580	1	0	Finished
10.01.2018 15:00:00	120140	120140	120000	120000	2	0	Finished
10.01.2018 15:05:00	121150	121500	121150	121500	2	0	Finished
11.01.2018 13:05:00	121500	121500	121500	121500	1	0	Finished
12.01.2018 14:05:00	123980	123980	123980	123980	1	0	Finished
12.01.2018 14:15:00	123980	123980	123980	123980	1	0	Finished
15.01.2018 12:50:00	125310	125310	125310	125310	1	0	Finished
16.01.2018 14:15:00	122360	122360	122360	122360	1	0	Finished
17.01.2018 20:05:00	124780	124950	124780	124950	2	0	Finished
18.01.2018 14:50:00	125270	125270	125270	125270	1	0	Finished
18.01.2018 16:05:00	125850	125850	125850	125850	1	0	Finished
22.01.2018 15:15:00	126500	126500	126500	126500	1	0	Finished
25.01.2018 10:55:00	128590	128590	128590	128590	1	0	Finished
25.01.2018 11:25:00	128700	128700	128700	128700	1	0	Finished
25.01.2018 11:55:00	128280	128280	128280	128280	1	0	Finished
25.01.2018 17:10:00	129110	129110	129110	129110	1	0	Finished
29.01.2018 12:40:00	127320	127320	127320	127320	1	0	Finished
29.01.2018 12:55:00	127160	127160	127160	127160	1	0	Finished
30.01.2018 12:15:00	127220	127220	127220	127220	1	0	Finished
31.01.2018 22:25:00	126090	126090	126090	126090	1	0	Finished
01.02.2018 23:05:00	127620	127620	127620	127620	1	0	Finished
02.02.2018 17:00:00	125640	125640	125640	125640	1	0	Finished
02.02.2018 22:50:00	125030	125030	125030	125030	1	0	Finished
06.02.2018 10:30:00	121510	121510	121510	121510	1	0	Finished
06.02.2018 10:50:00	121490	121490	121490	121490	1	0	Finished
06.02.2018 13:50:00	122210	122210	122210	122210	1	0	Finished
06.02.2018 15:25:00	121610	121610	121610	121610	1	0	Finished
08.02.2018 15:50:00	119760	119760	119760	119760	1	0	Finished
08.02.2018 18:05:00	119570	119570	119570	119570	1	0	Finished
09.02.2018 11:05:00	117280	117280	117280	117280	1	0	Finished
09.02.2018 11:55:00	117430	117430	117410	117410	2	0	Finished
09.02.2018 21:05:00	114830	114830	114830	114830	1	0	Finished
09.02.2018 21:35:00	114110	114110	114110	114110	1	0	Finished
20.02.2018 23:15:00	125050	125050	125050	125050	1	0	Finished
22.02.2018 20:00:00	129460	129460	129460	129460	1	0	Finished
22.02.2018 20:05:00	129610	129610	129610	129610	1	0	Finished
26.02.2018 10:45:00	132290	132290	132290	132290	2	0	Finished
26.02.2018 10:50:00	132300	132300	132300	132300	1	0	Finished
26.02.2018 17:30:00	131230	131230	131230	131230	1	0	Finished
26.02.2018 17:35:00	131380	131380	131380	131380	1	0	Finished
28.02.2018 13:35:00	128090	128180	128090	128180	2	0	Finished
28.02.2018 15:25:00	127570	127570	127570	127570	1	0	Finished
28.02.2018 16:20:00	127970	127970	127030	127030	7	0	Finished
28.02.2018 19:00:00	126840	126840	126840	126840	1	0	Finished
28.02.2018 19:25:00	127460	127460	126730	126730	3	0	Finished
28.02.2018 23:45:00	126340	126340	126340	126340	1	0	Finished
01.03.2018 14:45:00	125530	125530	125530	125530	1	0	Finished
01.03.2018 18:30:00	125950	125950	125950	125950	1	0	Finished
05.03.2018 14:25:00	126970	126970	126970	126970	1	0	Finished
05.03.2018 18:35:00	126140	126140	126140	126140	1	0	Finished
06.03.2018 11:20:00	127440	127440	127440	127440	1	0	Finished
06.03.2018 11:40:00	127650	127650	127650	127650	1	0	Finished
07.03.2018 15:35:00	124300	124300	124300	124300	1	0	Finished
09.03.2018 10:35:00	124610	124610	124610	124610	1	0	Finished
09.03.2018 22:00:00	127320	127320	127320	127320	1	0	Finished
12.03.2018 15:40:00	127000	127000	127000	127000	1	0	Finished
14.03.2018 14:30:00	126000	126000	126000	126000	1	0	Finished
14.03.2018 18:05:00	124440	124440	124440	124440	1	0	Finished
14.03.2018 19:05:00	124320	124320	124320	124320	1	0	Finished
14.03.2018 20:15:00	124090	124090	124090	124090	1	0	Finished
15.03.2018 11:05:00	124000	124000	124000	124000	1	0	Finished
15.03.2018 18:05:00	123240	123240	123240	123240	1	0	Finished
16.03.2018 11:05:00	122040	122040	122040	122040	1	0	Finished
16.03.2018 15:55:00	123730	123730	123730	123730	1	0	Finished
16.03.2018 16:15:00	123550	123550	123550	123550	1	0	Finished
16.03.2018 16:30:00	123500	123500	123500	123500	1	0	Finished
16.03.2018 16:40:00	123010	123010	123000	123000	2	0	Finished
16.03.2018 16:45:00	123110	123110	123110	123110	1	0	Finished
16.03.2018 17:00:00	123250	123250	123250	123250	1	0	Finished
16.03.2018 17:05:00	123140	123140	123040	123040	3	0	Finished
16.03.2018 17:15:00	123180	123180	123180	123180	4	0	Finished
16.03.2018 17:30:00	123330	123330	123330	123330	1	0	Finished
16.03.2018 18:25:00	123450	123450	123450	123450	1	0	Finished
16.03.2018 19:00:00	123410	123410	123410	123410	3	0	Finished
19.03.2018 10:00:00	124000	125150	123130	123130	4	0	Finished
19.03.2018 12:25:00	123050	123050	123050	123050	1	0	Finished
19.03.2018 12:30:00	123050	123050	123050	123050	1	0	Finished
19.03.2018 12:35:00	123050	123050	123050	123050	1	0	Finished
19.03.2018 16:20:00	122010	122010	122010	122010	1	0	Finished
19.03.2018 17:35:00	122390	122390	122390	122390	1	0	Finished
19.03.2018 17:55:00	122360	122360	122360	122360	1	0	Finished
19.03.2018 18:40:00	122020	122020	122000	122000	2	0	Finished
20.03.2018 10:00:00	122400	122400	122400	122400	1	0	Finished
20.03.2018 11:35:00	121750	121750	121750	121750	1	0	Finished
20.03.2018 13:00:00	122000	122000	122000	122000	1	0	Finished
20.03.2018 14:35:00	122300	122300	122300	122300	1	0	Finished
20.03.2018 17:55:00	122600	122600	122600	122600	1	0	Finished
21.03.2018 11:00:00	124180	124180	124180	124180	1	0	Finished
21.03.2018 11:15:00	124200	124200	124200	124200	1	0	Finished
21.03.2018 16:05:00	123960	123960	123950	123950	2	0	Finished
21.03.2018 19:25:00	125220	125220	125220	125220	1	0	Finished
21.03.2018 21:15:00	125800	125800	125800	125800	1	0	Finished
21.03.2018 21:25:00	125500	125500	125500	125500	1	0	Finished
21.03.2018 22:10:00	125800	125850	125800	125850	2	0	Finished
22.03.2018 11:00:00	125350	125350	125350	125350	1	0	Finished
22.03.2018 12:30:00	125200	125200	125200	125200	1	0	Finished
22.03.2018 12:40:00	124800	124800	124800	124800	1	0	Finished
22.03.2018 15:50:00	124500	124500	124500	124500	1	0	Finished
23.03.2018 12:35:00	123000	123000	123000	123000	5	0	Finished
23.03.2018 20:10:00	123720	123880	123720	123880	2	0	Finished
26.03.2018 12:45:00	123520	123520	123520	123520	1	0	Finished
26.03.2018 17:10:00	122090	122090	122090	122090	1	0	Finished
26.03.2018 17:55:00	121530	121530	121530	121530	1	0	Finished
27.03.2018 11:55:00	121930	121930	121930	121930	1	0	Finished
29.03.2018 12:00:00	121600	121600	121600	121600	1	0	Finished
29.03.2018 16:30:00	121850	121850	121850	121850	1	0	Finished
29.03.2018 19:05:00	122300	122300	122300	122300	1	0	Finished
30.03.2018 23:35:00	122730	122730	122310	122310	2	0	Finished
02.04.2018 12:55:00	123890	123890	123890	123890	1	0	Finished
02.04.2018 14:50:00	123000	123000	123000	123000	1	0	Finished
02.04.2018 15:00:00	122700	122700	122700	122700	1	0	Finished
02.04.2018 17:00:00	122310	122310	122300	122300	2	0	Finished
02.04.2018 18:05:00	122000	122000	122000	122000	1	0	Finished
02.04.2018 19:00:00	121300	121300	121300	121300	1	0	Finished
04.04.2018 12:10:00	120500	121500	120500	121500	3	0	Finished
04.04.2018 12:35:00	121000	121000	121000	121000	1	0	Finished
04.04.2018 13:15:00	120340	120340	120340	120340	1	0	Finished
04.04.2018 14:55:00	120890	120890	120890	120890	3	0	Finished
04.04.2018 16:35:00	120410	120460	120410	120460	2	0	Finished
04.04.2018 16:50:00	120760	120760	120760	120760	1	0	Finished
04.04.2018 16:55:00	120870	120870	120870	120870	1	0	Finished
04.04.2018 21:50:00	122620	122620	122620	122620	1	0	Finished
04.04.2018 22:45:00	122500	122500	122500	122500	1	0	Finished
05.04.2018 13:10:00	122800	122800	122800	122800	1	0	Finished
06.04.2018 10:20:00	122610	122610	122610	122610	1	0	Finished
06.04.2018 18:05:00	121200	121200	121200	121200	1	0	Finished
06.04.2018 18:35:00	121200	121200	121200	121200	1	0	Finished
06.04.2018 23:10:00	120740	120740	120740	120740	1	0	Finished
09.04.2018 10:00:00	120030	120030	120030	120030	1	0	Finished
09.04.2018 10:05:00	118300	118300	118300	118300	1	0	Finished
09.04.2018 10:10:00	118010	118010	118000	118000	2	0	Finished
09.04.2018 10:15:00	117450	117450	117450	117450	1	0	Finished
09.04.2018 10:20:00	117800	117800	117800	117800	1	0	Finished
09.04.2018 11:20:00	117000	117000	117000	117000	5	0	Finished
09.04.2018 12:00:00	116160	116160	116160	116160	1	0	Finished
09.04.2018 12:10:00	114390	114390	114390	114390	5	0	Finished
09.04.2018 12:40:00	109640	109640	109640	109640	1	0	Finished
09.04.2018 12:45:00	110840	110840	110000	110000	6	0	Finished
09.04.2018 13:15:00	110250	110250	110250	110250	4	0	Finished
09.04.2018 13:30:00	114710	114710	114710	114710	1	0	Finished
09.04.2018 14:05:00	111130	111130	111130	111130	1	0	Finished
09.04.2018 15:05:00	109700	109700	109700	109700	1	0	Finished
09.04.2018 16:55:00	107740	107740	107740	107740	1	0	Finished
09.04.2018 17:20:00	107910	107910	107910	107910	1	0	Finished
