?Время	O	H	L	C	V	OI	Состояние
03.01.2018 10:00:00	113670	115990	113430	113430	5	0	Finished
04.01.2018 14:00:00	116980	116980	116980	116980	1	0	Finished
04.01.2018 14:30:00	117030	117030	116950	116950	2	0	Finished
04.01.2018 15:30:00	118000	118000	118000	118000	4	0	Finished
09.01.2018 12:30:00	121580	121580	121580	121580	1	0	Finished
10.01.2018 15:00:00	120140	121500	120000	121500	4	0	Finished
11.01.2018 13:00:00	121500	121500	121500	121500	1	0	Finished
12.01.2018 14:00:00	123980	123980	123980	123980	2	0	Finished
15.01.2018 12:30:00	125310	125310	125310	125310	1	0	Finished
16.01.2018 14:00:00	122360	122360	122360	122360	1	0	Finished
17.01.2018 20:00:00	124780	124950	124780	124950	2	0	Finished
18.01.2018 14:30:00	125270	125270	125270	125270	1	0	Finished
18.01.2018 16:00:00	125850	125850	125850	125850	1	0	Finished
22.01.2018 15:00:00	126500	126500	126500	126500	1	0	Finished
25.01.2018 10:30:00	128590	128590	128590	128590	1	0	Finished
25.01.2018 11:00:00	128700	128700	128700	128700	1	0	Finished
25.01.2018 11:30:00	128280	128280	128280	128280	1	0	Finished
25.01.2018 17:00:00	129110	129110	129110	129110	1	0	Finished
29.01.2018 12:30:00	127320	127320	127160	127160	2	0	Finished
30.01.2018 12:00:00	127220	127220	127220	127220	1	0	Finished
31.01.2018 22:00:00	126090	126090	126090	126090	1	0	Finished
01.02.2018 23:00:00	127620	127620	127620	127620	1	0	Finished
02.02.2018 17:00:00	125640	125640	125640	125640	1	0	Finished
02.02.2018 22:30:00	125030	125030	125030	125030	1	0	Finished
06.02.2018 10:30:00	121510	121510	121490	121490	2	0	Finished
06.02.2018 13:30:00	122210	122210	122210	122210	1	0	Finished
06.02.2018 15:00:00	121610	121610	121610	121610	1	0	Finished
08.02.2018 15:30:00	119760	119760	119760	119760	1	0	Finished
08.02.2018 18:00:00	119570	119570	119570	119570	1	0	Finished
09.02.2018 11:00:00	117280	117280	117280	117280	1	0	Finished
09.02.2018 11:30:00	117430	117430	117410	117410	2	0	Finished
09.02.2018 21:00:00	114830	114830	114830	114830	1	0	Finished
09.02.2018 21:30:00	114110	114110	114110	114110	1	0	Finished
20.02.2018 23:00:00	125050	125050	125050	125050	1	0	Finished
22.02.2018 20:00:00	129460	129610	129460	129610	2	0	Finished
26.02.2018 10:30:00	132290	132300	132290	132300	3	0	Finished
26.02.2018 17:30:00	131230	131380	131230	131380	2	0	Finished
28.02.2018 13:30:00	128090	128180	128090	128180	2	0	Finished
28.02.2018 15:00:00	127570	127570	127570	127570	1	0	Finished
28.02.2018 16:00:00	127970	127970	127030	127030	7	0	Finished
28.02.2018 19:00:00	126840	127460	126730	126730	4	0	Finished
28.02.2018 23:30:00	126340	126340	126340	126340	1	0	Finished
01.03.2018 14:30:00	125530	125530	125530	125530	1	0	Finished
01.03.2018 18:30:00	125950	125950	125950	125950	1	0	Finished
05.03.2018 14:00:00	126970	126970	126970	126970	1	0	Finished
05.03.2018 18:30:00	126140	126140	126140	126140	1	0	Finished
06.03.2018 11:00:00	127440	127440	127440	127440	1	0	Finished
06.03.2018 11:30:00	127650	127650	127650	127650	1	0	Finished
07.03.2018 15:30:00	124300	124300	124300	124300	1	0	Finished
09.03.2018 10:30:00	124610	124610	124610	124610	1	0	Finished
09.03.2018 22:00:00	127320	127320	127320	127320	1	0	Finished
12.03.2018 15:30:00	127000	127000	127000	127000	1	0	Finished
14.03.2018 14:30:00	126000	126000	126000	126000	1	0	Finished
14.03.2018 18:00:00	124440	124440	124440	124440	1	0	Finished
14.03.2018 19:00:00	124320	124320	124320	124320	1	0	Finished
