<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ8 [SPBFUT],240,20170119,080000,109370.000000,109370.000000,109370.000000,109370.000000,1.000000
RIZ8 [SPBFUT],240,20170531,080000,102530.000000,102530.000000,102530.000000,102530.000000,2.000000
RIZ8 [SPBFUT],240,20170531,160000,101150.000000,101150.000000,101150.000000,101150.000000,2.000000
RIZ8 [SPBFUT],240,20170607,200000,98500.000000,98500.000000,98500.000000,98500.000000,1.000000
RIZ8 [SPBFUT],240,20170614,080000,98760.000000,98760.000000,98760.000000,98760.000000,2.000000
RIZ8 [SPBFUT],240,20170614,200000,97470.000000,97470.000000,97470.000000,97470.000000,2.000000
RIZ8 [SPBFUT],240,20170615,080000,95880.000000,95880.000000,94210.000000,94210.000000,2.000000
RIZ8 [SPBFUT],240,20170615,120000,94240.000000,94810.000000,93860.000000,94810.000000,13.000000
RIZ8 [SPBFUT],240,20170619,200000,95910.000000,95910.000000,95910.000000,95910.000000,4.000000
RIZ8 [SPBFUT],240,20170623,080000,94240.000000,94240.000000,94240.000000,94240.000000,8.000000
RIZ8 [SPBFUT],240,20170623,120000,94380.000000,94380.000000,94380.000000,94380.000000,1.000000
RIZ8 [SPBFUT],240,20170626,160000,95950.000000,95950.000000,95950.000000,95950.000000,3.000000
RIZ8 [SPBFUT],240,20170627,160000,96080.000000,96080.000000,94000.000000,94000.000000,3.000000
RIZ8 [SPBFUT],240,20170627,200000,94000.000000,94000.000000,94000.000000,94000.000000,1.000000
RIZ8 [SPBFUT],240,20170628,200000,96410.000000,96410.000000,96410.000000,96410.000000,1.000000
RIZ8 [SPBFUT],240,20170630,200000,96900.000000,96900.000000,96900.000000,96900.000000,3.000000
RIZ8 [SPBFUT],240,20170703,080000,96580.000000,96580.000000,96500.000000,96500.000000,4.000000
RIZ8 [SPBFUT],240,20170712,120000,98330.000000,98690.000000,98330.000000,98690.000000,3.000000
RIZ8 [SPBFUT],240,20170713,160000,99500.000000,99500.000000,99500.000000,99500.000000,1.000000
RIZ8 [SPBFUT],240,20170714,080000,99500.000000,99750.000000,99500.000000,99750.000000,2.000000
RIZ8 [SPBFUT],240,20170714,120000,99990.000000,99990.000000,99990.000000,99990.000000,1.000000
RIZ8 [SPBFUT],240,20170721,080000,100900.000000,100900.000000,100900.000000,100900.000000,1.000000
RIZ8 [SPBFUT],240,20170721,160000,100900.000000,100900.000000,100900.000000,100900.000000,15.000000
RIZ8 [SPBFUT],240,20170803,200000,99510.000000,100500.000000,99510.000000,100500.000000,10.000000
RIZ8 [SPBFUT],240,20170807,120000,99000.000000,101850.000000,99000.000000,101820.000000,18.000000
RIZ8 [SPBFUT],240,20170807,160000,101010.000000,101010.000000,101000.000000,101000.000000,2.000000
RIZ8 [SPBFUT],240,20170807,200000,101000.000000,101000.000000,101000.000000,101000.000000,2.000000
RIZ8 [SPBFUT],240,20170808,160000,101800.000000,101800.000000,101800.000000,101800.000000,2.000000
RIZ8 [SPBFUT],240,20170808,200000,102500.000000,102500.000000,101950.000000,102100.000000,44.000000
RIZ8 [SPBFUT],240,20170811,080000,100000.000000,100000.000000,99500.000000,99500.000000,2.000000
RIZ8 [SPBFUT],240,20170811,200000,100500.000000,100500.000000,100500.000000,100500.000000,1.000000
RIZ8 [SPBFUT],240,20170817,200000,100770.000000,100770.000000,100770.000000,100770.000000,1.000000
RIZ8 [SPBFUT],240,20170822,120000,101330.000000,101330.000000,100720.000000,100720.000000,4.000000
RIZ8 [SPBFUT],240,20170822,160000,100720.000000,101000.000000,100720.000000,101000.000000,248.000000
RIZ8 [SPBFUT],240,20170824,200000,101780.000000,101780.000000,101730.000000,101730.000000,2.000000
RIZ8 [SPBFUT],240,20170825,200000,103000.000000,103000.000000,103000.000000,103000.000000,2.000000
RIZ8 [SPBFUT],240,20170828,080000,103350.000000,103350.000000,103350.000000,103350.000000,1.000000
RIZ8 [SPBFUT],240,20170830,160000,104500.000000,104500.000000,104500.000000,104500.000000,1.000000
RIZ8 [SPBFUT],240,20170831,160000,105720.000000,105720.000000,105720.000000,105720.000000,1.000000
RIZ8 [SPBFUT],240,20170831,200000,105950.000000,107590.000000,105950.000000,107590.000000,2.000000
RIZ8 [SPBFUT],240,20170904,120000,106400.000000,106400.000000,105760.000000,105760.000000,3.000000
RIZ8 [SPBFUT],240,20170904,160000,105700.000000,107360.000000,105700.000000,107360.000000,3.000000
RIZ8 [SPBFUT],240,20170904,200000,106380.000000,106380.000000,106380.000000,106380.000000,5.000000
RIZ8 [SPBFUT],240,20170905,120000,107040.000000,107040.000000,105700.000000,105700.000000,12.000000
RIZ8 [SPBFUT],240,20170905,160000,106630.000000,106640.000000,106510.000000,106510.000000,8.000000
RIZ8 [SPBFUT],240,20170905,200000,106500.000000,106500.000000,106500.000000,106500.000000,8.000000
RIZ8 [SPBFUT],240,20170906,120000,106000.000000,106000.000000,106000.000000,106000.000000,7.000000
RIZ8 [SPBFUT],240,20170906,160000,107100.000000,107100.000000,107100.000000,107100.000000,3.000000
RIZ8 [SPBFUT],240,20170906,200000,107420.000000,107510.000000,107290.000000,107510.000000,5.000000
RIZ8 [SPBFUT],240,20170907,080000,108200.000000,108200.000000,108100.000000,108100.000000,12.000000
RIZ8 [SPBFUT],240,20170907,120000,109430.000000,109430.000000,109430.000000,109430.000000,3.000000
RIZ8 [SPBFUT],240,20170907,200000,109370.000000,109370.000000,108100.000000,109130.000000,11.000000
RIZ8 [SPBFUT],240,20170913,160000,109940.000000,109940.000000,109940.000000,109940.000000,1.000000
RIZ8 [SPBFUT],240,20170913,200000,110470.000000,110470.000000,110470.000000,110470.000000,8.000000
RIZ8 [SPBFUT],240,20170914,160000,108800.000000,109240.000000,108800.000000,109240.000000,12.000000
